wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-06922,ITEM-01927,15,371.0,420.0,371.0,385.0,14.0,False,0.0
WO-04726,ITEM-01926,15,371.0,420.0,371.0,385.0,14.0,False,0.0
WO-04909,ITEM-02430,15,371.0,420.0,371.0,385.0,14.0,False,0.0
WO-06281,ITEM-02600,1,328.0,394.0,328.0,385.0,57.0,False,0.0
WO-04002,ITEM-00492,1,322.0,390.0,322.0,385.0,63.0,False,0.0
WO-06141,ITEM-00723,10,370.0,412.0,370.0,385.0,15.0,False,0.0
WO-06137,ITEM-00494,30,370.0,412.0,370.0,385.0,15.0,False,0.0
WO-04629,ITEM-00793,30,369.0,418.0,369.0,385.0,16.0,False,0.0
WO-02948,ITEM-01936,5,366.0,436.0,366.0,385.03125,19.03125,False,0.0
WO-04945,ITEM-00305,16,372.0,393.0,372.0,385.03125,13.03125,False,0.0
WO-05742,ITEM-00174,16,366.0,422.0,366.0,385.03125,19.03125,False,0.0
WO-05915,ITEM-02229,6,366.0,443.0,366.0,385.03125,19.03125,False,0.0
WO-05919,ITEM-02063,6,366.0,443.0,366.0,385.03125,19.03125,False,0.0
WO-05705,ITEM-00617,8,366.0,460.0,366.0,385.03125,19.03125,False,0.0
WO-04241,ITEM-02235,172,357.0,440.0,357.0,385.0314236111111,28.03142361111111,False,0.0
WO-06414,ITEM-02179,10,370.0,412.0,370.0,385.0314236111111,15.031423611111109,False,0.0
WO-06138,ITEM-01864,10,370.0,412.0,370.0,385.0314236111111,15.031423611111109,False,0.0
WO-06140,ITEM-00512,10,370.0,412.0,370.0,385.0314236111111,15.031423611111109,False,0.0
WO-06088,ITEM-00955,10,370.0,412.0,370.0,385.0314236111111,15.031423611111109,False,0.0
WO-06089,ITEM-00513,10,370.0,412.0,370.0,385.0314236111111,15.031423611111109,False,0.0
WO-07236,ITEM-03906,20,379.0,408.0,379.0,385.0314236111111,6.031423611111109,False,0.0
WO-00892,ITEM-00154,1,349.0,414.0,349.0,385.0314236111111,36.03142361111111,False,0.0
WO-07302,ITEM-00783,5,364.0,414.0,364.0,385.0315972222222,21.031597222222217,False,0.0
WO-05023,ITEM-00154,5,349.0,415.0,349.0,385.0315972222222,36.03159722222222,False,0.0
WO-04745,ITEM-02636,1,345.0,413.0,345.0,385.0625,40.0625,False,0.0
WO-04740,ITEM-01625,3,379.0,393.0,379.0,385.0628472222222,6.062847222222217,False,0.0
WO-05876,ITEM-01909,6,372.0,428.0,372.0,385.0628472222222,13.062847222222217,False,0.0
WO-04313,ITEM-00039,1,336.0,404.0,336.0,385.09375,49.09375,False,0.0
WO-04881,ITEM-01833,51,371.0,427.0,371.0,385.09809027777777,14.098090277777771,False,0.0
WO-04478,ITEM-00647,5,377.0,398.0,377.0,385.09809027777777,8.098090277777771,False,0.0
WO-01614,ITEM-01433,1,299.0,364.0,299.0,385.1048611111111,86.10486111111112,True,21.10486111111112
WO-01615,ITEM-01433,1,299.0,364.0,299.0,385.1048611111111,86.10486111111112,True,21.10486111111112
WO-01779,ITEM-01433,1,299.0,364.0,299.0,385.10503472222223,86.10503472222223,True,21.10503472222223
WO-01938,ITEM-01433,1,299.0,364.0,299.0,385.10503472222223,86.10503472222223,True,21.10503472222223
WO-05595,ITEM-00896,9,349.0,387.0,349.0,385.1253472222222,36.12534722222222,False,0.0
WO-05729,ITEM-00562,47,366.0,415.0,366.0,385.12934027777777,19.12934027777777,False,0.0
WO-05430,ITEM-01368,51,371.0,427.0,371.0,385.1415958333333,14.141595833333326,False,0.0
WO-03987,ITEM-02720,20,373.0,394.0,373.0,385.1415958333333,12.141595833333326,False,0.0
WO-03362,ITEM-00406,30,342.0,422.0,342.0,385.1415958333333,43.14159583333333,False,0.0
WO-04883,ITEM-02637,7,376.0,432.0,376.0,385.1415958333333,9.141595833333326,False,0.0
WO-04874,ITEM-01765,10,376.0,432.0,376.0,385.1828111111111,9.182811111111107,False,0.0
WO-06488,ITEM-02118,85,376.0,432.0,376.0,385.1828111111111,9.182811111111107,False,0.0
WO-05403,ITEM-01008,57,355.0,428.0,355.0,385.1980902777778,30.198090277777794,False,0.0
WO-03893,ITEM-00258,10,369.0,411.0,369.0,385.1982638888889,16.198263888888903,False,0.0
WO-05710,ITEM-03369,15,379.0,421.0,379.0,385.2203125,6.220312499999977,False,0.0
WO-06882,ITEM-00302,12,328.0,394.0,328.0,385.2503472222222,57.25034722222222,False,0.0
WO-06883,ITEM-00302,12,328.0,394.0,328.0,385.2503472222222,57.25034722222222,False,0.0
WO-04744,ITEM-02636,1,349.0,416.0,349.0,385.29270833333334,36.29270833333334,False,0.0
WO-04044,ITEM-00545,8,369.0,411.0,369.0,385.3135416666667,16.31354166666671,False,0.0
WO-05015,ITEM-02385,17,371.0,427.0,371.0,385.3336458333333,14.333645833333321,False,0.0
WO-05079,ITEM-00475,17,373.0,408.0,373.0,385.41215277777775,12.412152777777749,False,0.0
WO-05870,ITEM-00571,54,370.0,447.0,370.0,385.44895833333334,15.448958333333337,False,0.0
WO-04746,ITEM-02636,1,352.0,420.0,352.0,385.46979166666654,33.46979166666654,False,0.0
WO-05496,ITEM-01972,22,372.0,414.0,372.0,385.47274305555555,13.472743055555554,False,0.0
WO-04650,ITEM-02636,1,352.0,420.0,352.0,385.50086805555554,33.50086805555554,False,0.0
WO-04548,ITEM-01018,30,355.0,428.0,355.0,385.5769091666668,30.57690916666678,False,0.0
WO-04289,ITEM-01103,60,372.0,407.0,372.0,385.6052083333333,13.60520833333328,False,0.0
WO-05460,ITEM-02151,6,362.0,426.0,362.0,385.6442708333333,23.64427083333328,False,0.0
WO-04524,ITEM-02180,5,366.0,402.0,366.0,385.73263888888886,19.732638888888857,False,0.0
WO-06606,ITEM-01103,100,371.0,406.0,371.0,385.7684027777777,14.76840277777768,False,0.0
WO-04927,ITEM-03140,48,372.0,414.0,372.0,385.7734375,13.7734375,False,0.0
WO-01939,ITEM-01433,1,299.0,364.0,299.0,386.08402777777775,87.08402777777775,True,22.08402777777775
WO-06139,ITEM-00191,10,373.0,415.0,373.0,386.1972222222222,13.197222222222194,False,0.0
WO-04005,ITEM-00492,1,328.0,394.0,328.0,386.2293402777776,58.229340277777624,False,0.0
WO-04196,ITEM-01544,201,371.0,427.0,371.0,386.2312708333333,15.231270833333326,False,0.0
WO-04048,ITEM-00492,1,328.0,394.0,328.0,386.24322916666665,58.24322916666665,False,0.0
WO-04004,ITEM-00492,1,328.0,394.0,328.0,386.26059027777774,58.26059027777774,False,0.0
WO-04565,ITEM-01671,16,378.0,420.0,378.0,386.3126736111112,8.312673611111222,False,0.0
WO-04422,ITEM-02200,50,372.0,421.0,372.0,386.40256944444434,14.402569444444339,False,0.0
WO-06133,ITEM-01011,10,373.0,415.0,373.0,386.4980555555555,13.498055555555482,False,0.0
WO-06134,ITEM-02596,10,373.0,415.0,373.0,386.5048611111109,13.504861111110927,False,0.0
WO-06759,ITEM-00019,1,370.0,412.0,370.0,386.52874999999995,16.528749999999945,False,0.0
WO-05513,ITEM-00130,12,370.0,419.0,370.0,386.5359375,16.53593749999999,False,0.0
WO-06840,ITEM-00157,20,380.0,408.0,380.0,386.55430555555546,6.554305555555459,False,0.0
