wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-05450,ITEM-00411,15,286.0,328.0,286.0,303.25863194444355,17.25863194444355,False,0.0
WO-05455,ITEM-02131,10,296.0,324.0,296.0,303.3011527777768,7.301152777776792,False,0.0
WO-03924,ITEM-00146,8,278.0,334.0,278.0,303.3022569444445,25.30225694444448,False,0.0
WO-05774,ITEM-01009,5,282.0,347.0,282.0,303.3206597222222,21.320659722222217,False,0.0
WO-04237,ITEM-02801,5,292.0,334.0,292.0,303.4792777777767,11.479277777776701,False,0.0
WO-01722,ITEM-00226,7,295.0,330.0,295.0,303.5345347222214,8.534534722221395,False,0.0
WO-04463,ITEM-00382,1,261.0,324.0,261.0,303.575,42.57499999999999,False,0.0
WO-02130,ITEM-00255,16,267.0,330.0,267.0,303.5755208333333,36.575520833333314,False,0.0
WO-06614,ITEM-01853,4,280.0,376.0,280.0,303.5755208333333,23.575520833333314,False,0.0
WO-03983,ITEM-00598,4,294.0,343.0,294.0,303.6095347222213,9.609534722221326,False,0.0
WO-06344,ITEM-02585,20,293.0,314.0,293.0,303.6095347222213,10.609534722221326,False,0.0
WO-05313,ITEM-03229,8,295.0,351.0,295.0,303.6871041666657,8.687104166665677,False,0.0
WO-04603,ITEM-00009,1,293.0,335.0,293.0,303.68922222222136,10.68922222222136,False,0.0
WO-06720,ITEM-00492,1,261.0,324.0,261.0,303.7414930555552,42.741493055555225,False,0.0
WO-01949,ITEM-00332,20,280.0,336.0,280.0,303.8071180555556,23.807118055555577,False,0.0
WO-04034,ITEM-00846,8,300.0,314.0,300.0,304.25463194444376,4.254631944443759,False,0.0
WO-04560,ITEM-02933,5,302.0,330.0,302.0,304.3203125,2.3203125,False,0.0
WO-06275,ITEM-03559,182,300.0,328.0,300.0,304.75977083333333,4.759770833333334,False,0.0
WO-04086,ITEM-02764,1,303.0,324.0,303.0,305.0840277777778,2.0840277777778056,False,0.0
WO-04904,ITEM-03131,1,303.0,324.0,303.0,305.0840277777778,2.0840277777778056,False,0.0
WO-05480,ITEM-03282,1,303.0,324.0,303.0,305.0840277777778,2.0840277777778056,False,0.0
WO-04321,ITEM-00729,12,272.0,335.0,272.0,305.1878472222222,33.18784722222222,False,0.0
WO-02104,ITEM-00091,10,257.0,320.0,257.0,305.23020833333334,48.23020833333334,False,0.0
WO-05490,ITEM-00091,10,260.0,323.0,260.0,305.2324652777778,45.232465277777806,False,0.0
WO-06238,ITEM-02041,30,292.0,341.0,292.0,305.35493055555554,13.35493055555554,False,0.0
WO-05314,ITEM-03230,2,295.0,351.0,295.0,305.4733819444436,10.473381944443588,False,0.0
WO-05111,ITEM-00066,12,280.0,397.0,280.0,306.12569444444443,26.125694444444434,False,0.0
WO-05291,ITEM-01279,42,294.0,315.0,294.0,306.12569444444443,12.125694444444434,False,0.0
WO-05809,ITEM-00307,6,296.0,317.0,296.0,306.12569444444443,10.125694444444434,False,0.0
WO-02234,ITEM-00260,16,279.0,328.0,279.0,306.12569444444443,27.125694444444434,False,0.0
WO-03424,ITEM-00484,30,287.0,329.0,287.0,306.12569444444443,19.125694444444434,False,0.0
WO-03021,ITEM-00223,3,299.0,334.0,299.0,306.12569444444443,7.125694444444434,False,0.0
WO-01952,ITEM-00009,1,293.0,335.0,293.0,306.12569444444443,13.125694444444434,False,0.0
WO-04091,ITEM-00009,1,293.0,335.0,293.0,306.12569444444443,13.125694444444434,False,0.0
WO-04092,ITEM-00009,1,293.0,335.0,293.0,306.12569444444443,13.125694444444434,False,0.0
WO-06856,ITEM-01402,48,289.0,345.0,289.0,306.12569444444443,17.125694444444434,False,0.0
WO-04920,ITEM-01771,151,295.0,351.0,295.0,306.12569444444443,11.125694444444434,False,0.0
WO-00568,ITEM-00632,22,285.0,364.0,285.0,306.12569444444443,21.125694444444434,False,0.0
WO-06725,ITEM-00492,1,261.0,324.0,261.0,308.0,47.0,False,0.0
WO-05437,ITEM-02409,5,294.0,343.0,294.0,308.0,14.0,False,0.0
WO-06936,ITEM-01927,5,294.0,343.0,294.0,308.0,14.0,False,0.0
WO-06935,ITEM-01926,5,294.0,343.0,294.0,308.0,14.0,False,0.0
WO-06979,ITEM-02410,5,294.0,343.0,294.0,308.0,14.0,False,0.0
WO-06937,ITEM-02430,5,294.0,343.0,294.0,308.0,14.0,False,0.0
WO-06980,ITEM-02431,5,294.0,343.0,294.0,308.0,14.0,False,0.0
WO-06962,ITEM-00039,1,264.0,327.0,264.0,308.03125,44.03125,False,0.0
WO-05427,ITEM-00896,9,273.0,308.0,273.0,308.0314236111111,35.03142361111111,True,0.031423611111108585
WO-04521,ITEM-00835,10,302.0,309.0,302.0,308.0315972222222,6.031597222222217,False,0.0
WO-06854,ITEM-02726,10,289.0,324.0,289.0,308.04027777777776,19.04027777777776,False,0.0
WO-03323,ITEM-00039,1,264.0,327.0,264.0,308.04027777777776,44.04027777777776,False,0.0
WO-02575,ITEM-00641,45,278.0,327.0,278.0,308.0404861111111,30.04048611111108,False,0.0
WO-05185,ITEM-00474,20,293.0,328.0,293.0,308.0406597222222,15.040659722222188,False,0.0
WO-06183,ITEM-02812,10,288.0,323.0,288.0,308.0416666666667,20.041666666666686,False,0.0
WO-04056,ITEM-01335,10,301.0,329.0,301.0,308.0510763888889,7.051076388888873,False,0.0
WO-00252,ITEM-00274,100,280.0,364.0,280.0,308.0520833333333,28.052083333333314,False,0.0
WO-00253,ITEM-00274,100,280.0,364.0,280.0,308.0520833333333,28.052083333333314,False,0.0
WO-00254,ITEM-00274,100,280.0,364.0,280.0,308.0520833333333,28.052083333333314,False,0.0
WO-06849,ITEM-01335,10,301.0,329.0,301.0,308.05208333333337,7.052083333333371,False,0.0
WO-05456,ITEM-02131,10,301.0,329.0,301.0,308.05208333333337,7.052083333333371,False,0.0
WO-06891,ITEM-02131,10,301.0,329.0,301.0,308.05208333333337,7.052083333333371,False,0.0
WO-05630,ITEM-00494,20,293.0,335.0,293.0,308.0522569444444,15.052256944444423,False,0.0
WO-01675,ITEM-01489,8,294.0,336.0,294.0,308.0522569444445,14.05225694444448,False,0.0
